history;Population;block;Individual;t;Treatment;Transplanting Date;Initial height(cm);Initial height;Flowering date;1cm bud date;Days to flowering;Days to achieve 1 cm bud;Total days;Total days1;Width (cm);Height (cm);vollum (cm3);N? buds;N? leaves;Bud biomass (mg);Roots biomass (mg);Aboveground biomass without leaves(mg);Aboveground biommas(mg);Total biomass(mg);Total.biomass1;root_shoot ratio;Stage;Flowering;Estmating the remain days;;flower sex;SLA LL(cm2/mg);SLA LM(cm2/mg);SLA LH(cm2/mg);SLA (cm2/mg);Fresh weight LL(mg);Turgid weight LL(mg);Dry weight LL(mg);Fresh weight LM(mg);Turgid weight LM(mg);Dry weight LM(mg);Fresh weight LH(mg);Turgid weight LH(mg);Dry weight LH(mg);RWC;Moisture (%);Leaves density;Relative growth rate;initial biomass_exp;initial biomass_linear;relative efficiency index 
MP;vb-7;na;1;ambient;ambient;20.01.2017;7.4;7.4;23.02.2017;06.03.2017;34;11;45;45;20.6;55.8;18588.24;7;72;10;2114.8;6500;6713.4;8838.2;8.8382;0.32;5;1;;;M;0.474;0.264;0.372;0.37;107.9;146.7;15.9;772;1044.8;193.4;17.1;26.9;4.1;0.651;24.35;1.29;1.08;14.14404659;40.38208;48.4
MP;vb-7;na;4;elevated;elevated;20.01.2017;8.9;8.9;24.02.2017;07.03.2017;35;11;46;46;20.4;59.8;19535.8;14;96;7.1;1777.1;8080;8265;10049.2;10.0492;0.22;5;1;;;M;0.419;0.27;0.221;0.303;88.3;117.9;16.3;633.1;765.3;159.6;27.1;43.3;9.1;0.672;8.2;1.61;1.11;20.91171023;62.72263;0.89
MP;vb-7;na;3;ambient;ambient;20.01.2017;4.2;4.2;02.03.2017;16.03.2017;41;14;55;55;16.1;70.2;14284.29;6;113;5.8;2665.5;9440;9706;12377.3;12.3773;0.27;5;1;;;M;0.413;0.215;0.239;0.289;71.8;95.2;18.5;18.7;23.9;6.6;778.7;959.2;240.9;0.714;16;1.61;1.2;6.1418586;-7.27776;66
MP;vh-1;na;2;ambient;ambient;20.01.2017;11.4;11.4;20.02.2017;23.02.2017;31;3;34;34;19.6;43.1;12997.48;5;84;6.7;1440.3;4450;4626.4;6073.4;6.0734;0.31;5;1;;;M;0.459;0.29;0.367;0.372;73.4;128;13.1;625.5;1124.5;135.7;115.2;205.2;27.6;0.504;25.1;1.95;0.93;40.12508902;99.95688;31.7
MP;vh-1;na;4;elevated;elevated;20.01.2017;9.1;9.1;22.02.2017;06.03.2017;33;12;45;45;20.6;50.6;16856;8;83;6.1;1954.6;5380;5555;7515.7;7.5157;0.35;5;1;;;M;0.385;0.279;0.351;0.338;70.1;103.9;14.3;471.5;603.4;126;156.3;240;34.7;0.646;12.95;1.64;0.92;22.03087107;65.70137;1.03
MP;vh-1;na;3;elevated;elevated;20.01.2017;14.1;14.1;23.02.2017;07.03.2017;34;12;46;46;19.6;53.2;16043.29;18;104;6.2;2262.8;8170;8369;10638;10.638;0.27;5;1;;;M;0.365;0.277;0.237;0.293;73.7;98.4;16.7;626.3;754.4;172.8;29.4;43.3;9.5;0.689;10.75;1.95;0.85;81.1119014;140.16987;0.97
MP;vh-1;na;1;ambient;ambient;20.01.2017;12.3;12.3;10.03.2017;16.03.2017;49;6;55;55;21.1;61;21318.88;22;158;4.4;3584.5;11240;11470.5;15059.4;15.0594;0.31;5;1;;;M;0.428;0.241;0.281;0.317;37.9;50.8;9.3;497.8;640.8;166.5;169.8;217.9;54.7;0.698;12.5;2.59;0.89;50.73475101;113.36121;48.7
MP;vh-10;na;2a;ambient;ambient;20.01.2017;NA;3;03.04.2017;20.04.2017;73;17;90;90;16.7;15.2;3327.72;5;34;1.4;2391.3;2250;2445.6;4838.3;4.8383;0.98;2;1;13.6712;;M;0.453;0.258;0.197;0.303;16.4;24.1;4.9;447.7;591.6;146.9;127.7;156.3;43.8;0.726;42.75;2.24;0.14;4.492076199;-25.1502;12.2
MP;vh-10;na;1;ambient;ambient;20.01.2017;10.1;10.1;22.02.2017;02.03.2017;33;8;41;41;25.3;28.9;14521.4;20;68;5.7;1901.1;4440;4718.7;6625.5;6.6255;0.4;5;1;;;M;0.458;0.589;0.41;0.486;1090.4;1435.6;195.9;60.6;86.7;13.1;304.5;465.9;69.7;0.653;21.75;2.35;0.46;28.59184965;80.59507;18.8
MP;vh-10;na;3;elevated;elevated;20.01.2017;11.1;11.1;17.02.2017;23.02.2017;28;6;34;34;15.1;38.1;6819.44;3;57;13.3;1896.9;5020;5190.3;7100.5;7.1005;0.37;5;1;;;M;0.353;0.292;0.286;0.31;49.2;82.5;12.3;518.2;712.4;132.1;84.4;137.2;25.9;0.572;11.85;1.5;0.79;37.10674281;95.48877;1.21
MP;vh-10;na;4;elevated;elevated;20.01.2017;14.9;14.9;17.02.2017;27.02.2017;28;10;38;38;16;36.1;7254.66;8;91;12.2;2381;5030;5245.7;7638.9;7.6389;0.45;5;1;;;M;0.213;0.204;0.293;0.237;248.9;362.4;71.6;510.2;729.6;134.5;40.7;67.4;9.6;0.593;17.77;2.52;0.56;99.9201433;152.08483;0.95
MP;vh-10;na;2;ambient;ambient;20.01.2017;12.4;12.4;01.03.2017;21.03.2017;40;20;60;60;21.8;48.4;18056.27;17;123;5.7;3529;10150;10587.3;14122;14.122;0.33;5;1;;;M;0.352;0.226;0.164;0.247;61.1;81;16.5;890.9;1075.6;285.4;370.6;461.8;135.4;0.726;23.1;2.54;0.6;52.07467781;114.85058;36
MP;vh-10;na;1a;elevated;elevated;20.01.2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALUE!;#VALUE!;NA
MP;vh-4;na;2a;ambient;ambient;20.01.2017;12;12;20.02.2017;27.02.2017;31;7;38;38;21.1;44.8;15657.15;8;75;5.6;1405;4060;4219.3;5629.9;5.6299;0.33;5;1;;;M;0.31;0.288;0.321;0.306;144.2;233.4;24.2;660.8;939.2;126.5;35.5;55.7;8.6;0.601;13.8;1.67;0.86;46.91830979;108.8931;32.8
MP;vh-4;na;3;elevated;elevated;20.01.2017;4.6;4.6;17.02.2017;24.02.2017;28;7;35;35;17.5;30.6;7356.43;4;77;8.6;1529;4180;4328.9;5866.5;5.8665;0.35;5;1;;;M;0.315;0.263;0.246;0.275;45.8;57.5;10.3;500.6;528.2;121;63.2;90.8;17.6;0.769;11.82;2.52;0.74;6.816854851;-1.32028;0.92
MP;vh-4;na;4a;ambient;ambient;20.01.2017;8.1;8.1;17.02.2017;28.02.2017;28;11;39;39;19.6;29.1;8775.56;5;76;3.8;2075.1;3650;3863.7;5942.6;5.9426;0.54;5;1;;;M;0.451;0.283;0.202;0.312;71.7;101.9;11.9;671;940.8;144.3;158.4;261.4;57.5;0.607;25.77;2.61;0.54;16.97544181;50.80767;21
